customerID,gender,SeniorCitizen,Partner,Dependents,Day,year,month,dob,age,,,
6575-SUVOI,Female,,Yes,No,24,2006,2,2006-02-24,19,,,
7495-OOKFY,Female,,Yes,No,3,2000,4,2000-04-03,25,,,
4667-QONEA,Female,,Yes,Yes,25,1991,7,1991-07-25,34,,,
1658-BYGOY,Male,,No,No,18,1984,2,1984-02-18,41,,,
8769-KKTPH,Female,,Yes,Yes,19,2012,6,2012-06-19,13,,,
5067-XJQFU,Male,,Yes,Yes,9,2004,8,2004-08-09,21,,,
3957-SQXML,Female,,Yes,Yes,30,1993,2,1993-03-02,32,,,
5954-BDFSG,Female,,No,No,10,1995,2,1995-02-10,30,,,
0434-CSFON,Female,,Yes,No,4,1983,11,1983-11-04,41,,,
1215-FIGMP,Male,,No,No,16,1987,10,1987-10-16,37,,,
0526-SXDJP,Male,,Yes,No,3,1992,4,1992-04-03,33,,,
0557-ASKVU,Female,,Yes,Yes,14,2005,2,2005-02-14,20,,,
5698-BQJOH,Female,,No,No,17,2002,3,2002-03-17,23,,,
5122-CYFXA,Female,,No,No,21,1992,8,1992-08-21,33,,,
8627-ZYGSZ,Male,,Yes,No,19,1991,8,1991-08-19,34,,,
3410-YOQBQ,Female,,No,No,4,2012,6,2012-06-04,13,,,
3170-NMYVV,Female,,Yes,Yes,13,1983,1,1983-01-13,42,,,
7410-OIEDU,Male,,No,No,20,2009,3,2009-03-20,16,,,
2273-QCKXA,Male,,No,No,21,1999,8,1999-08-21,26,,,
0731-EBJQB,Female,,Yes,Yes,19,1987,12,1987-12-19,37,,,
1891-QRQSA,Male,,Yes,Yes,23,1980,10,1980-10-23,44,,,
8028-PNXHQ,Male,,Yes,Yes,2,2010,11,2010-11-02,14,,,
5630-AHZIL,Female,,No,Yes,21,1991,3,1991-03-21,34,,,
2673-CXQEU,Female,,No,No,28,1980,2,1980-02-28,45,,,
6416-JNVRK,Female,,No,No,3,1982,11,1982-11-03,42,,,
5590-ZSKRV,Female,,Yes,Yes,29,2001,10,2001-10-29,23,,,
0191-ZHSKZ,Male,,No,No,8,1982,1,1982-01-08,43,,,
3887-PBQAO,Female,,Yes,Yes,11,2008,7,2008-07-11,17,,,
5919-TMRGD,Female,,No,Yes,8,2012,12,2012-12-08,12,,,
8108-UXRQN,Female,,Yes,Yes,24,1999,1,1999-01-24,26,,,
9191-MYQKX,Female,,Yes,No,21,1998,8,1998-08-21,27,,,
9919-YLNNG,Female,,No,No,13,2006,1,2006-01-13,19,,,
0318-ZOPWS,Female,,Yes,No,24,1984,2,1984-02-24,41,,,
4445-ZJNMU,Male,,No,No,20,1996,6,1996-06-20,29,,,
4808-YNLEU,Female,,Yes,No,10,1988,2,1988-02-10,37,,,
1862-QRWPE,Female,,Yes,Yes,16,1987,5,1987-05-16,38,,,
2796-NNUFI,Female,,Yes,Yes,13,1993,6,1993-06-13,32,,,
3016-KSVCP,Male,,Yes,No,2,2007,5,2007-05-02,18,,,
4767-HZZHQ,Male,,Yes,Yes,16,2006,7,2006-07-16,19,,,
2424-WVHPL,Male,,No,No,23,2006,12,2006-12-23,18,,,
7233-PAHHL,Male,,Yes,Yes,17,2012,5,2012-05-17,13,,,
6067-NGCEU,Female,,No,No,15,1992,12,1992-12-15,32,,,
9848-JQJTX,Male,,No,No,24,1998,4,1998-04-24,27,,,
8637-XJIVR,Female,,No,No,2,1997,5,1997-05-02,28,,,
9803-FTJCG,Male,,Yes,Yes,18,1995,12,1995-12-18,29,,,
0278-YXOOG,Male,,No,No,22,1994,2,1994-02-22,31,,,
3212-KXOCR,Male,,No,No,16,1981,4,1981-04-16,44,,,
4598-XLKNJ,Female,,Yes,No,6,2004,3,2004-03-06,21,,,
6380-ARCEH,Male,,No,No,29,2004,1,2004-01-29,21,,,
3679-XASPY,Female,,Yes,Yes,24,1998,2,1998-02-24,27,,,
7123-WQUHX,Male,,No,No,14,1991,8,1991-08-14,34,,,
5386-THSLQ,Female,,Yes,No,17,1982,5,1982-05-17,43,,,
3192-NQECA,Male,,Yes,No,11,1993,1,1993-01-11,32,,,
6180-YBIQI,Male,,No,No,3,1997,11,1997-11-03,27,,,
6728-DKUCO,Female,,Yes,Yes,11,2006,2,2006-02-11,19,,,
9750-BOOHV,Female,,No,No,23,2012,6,2012-06-23,13,,,
8597-CWYHH,Male,,No,No,1,1984,8,1984-08-01,41,,,
2848-YXSMW,Male,,Yes,Yes,4,1986,3,1986-03-04,39,,,
0486-HECZI,Male,,Yes,No,1,2000,3,2000-03-01,25,,,
4549-ZDQYY,Female,,No,No,9,1983,9,1983-09-09,42,,,
5712-AHQNN,Female,,No,No,3,1981,10,1981-10-03,43,,,
4846-WHAFZ,Female,,Yes,No,26,2005,3,2005-03-26,20,,,
5256-SKJGO,Female,,Yes,Yes,13,1987,6,1987-06-13,38,,,
3071-VBYPO,Male,,Yes,Yes,25,1996,7,1996-07-25,29,,,
9560-BBZXK,Female,,No,No,30,1997,4,1997-04-30,28,,,
5299-RULOA,Female,,Yes,Yes,23,2004,10,2004-10-23,20,,,
8402-OOOHJ,Female,,No,No,2,1996,9,1996-09-02,29,,,
9445-ZUEQE,Male,,Yes,Yes,26,2008,5,2008-05-26,17,,,
1091-SOZGA,Female,,Yes,Yes,25,2001,1,2001-01-25,24,,,
2928-HLDBA,Female,,No,No,6,1988,5,1988-05-06,37,,,
0404-SWRVG,Male,,No,No,17,1989,11,1989-11-17,35,,,
6497-TILVL,Female,,Yes,Yes,30,2002,11,2002-11-30,22,,,
7219-TLZHO,Female,,Yes,Yes,11,1997,7,1997-07-11,28,,,
4622-YNKIJ,Male,,No,No,6,1994,4,1994-04-06,31,,,
4412-YLTKF,Female,,No,No,27,1982,10,1982-10-27,42,,,
6734-PSBAW,Male,,Yes,No,1,1989,10,1989-10-01,35,,,
3930-ZGWVE,Male,,No,No,30,1989,9,1989-09-30,35,,,
2639-UGMAZ,Male,,No,No,3,2008,11,2008-11-03,16,,,
2876-GZYZC,Female,,No,No,3,2012,10,2012-10-03,12,,,
6207-WIOLX,Female,,Yes,Yes,11,2011,11,2011-11-11,13,,,
8587-XYZSF,Male,,No,No,19,2010,9,2010-09-19,14,,,
3091-FYHKI,Male,,No,No,20,1988,12,1988-12-20,36,,,
2372-HWUHI,Male,,No,No,5,2000,2,2000-02-05,25,,,
7799-LGRDP,Female,,No,No,6,1990,1,1990-01-06,35,,,
7850-VWJUU,Female,,No,No,27,2006,4,2006-04-27,19,,,
3774-VBNXY,Female,,Yes,Yes,18,1991,7,1991-07-18,34,,,
6217-KDYWC,Male,,No,Yes,9,2006,11,2006-11-09,18,,,
0390-DCFDQ,Female,,Yes,No,17,1991,3,1991-03-17,34,,,
3146-MSEGF,Female,,Yes,Yes,13,2010,8,2010-08-13,15,,,
4080-OGPJL,Female,,No,No,20,1996,11,1996-11-20,28,,,
1095-WGNGG,Female,,Yes,No,10,1980,3,1980-03-10,45,,,
2636-SJDOU,Male,,No,No,3,2000,7,2000-07-03,25,,,
1131-QQZEB,Male,,Yes,No,21,2006,2,2006-02-21,19,,,
5716-EZXZN,Female,,Yes,Yes,15,1998,4,1998-04-15,27,,,
6837-BJYDQ,Male,,No,No,8,1988,9,1988-09-08,37,,,
2135-RXIHG,Male,,No,No,8,2009,2,2009-02-08,16,,,
6440-DKQGE,Male,,No,Yes,4,1983,7,1983-07-04,42,,,
3466-BYAVD,Male,,Yes,Yes,9,2010,4,2010-04-09,15,,,
3780-YVMFA,Female,,Yes,Yes,18,1985,3,1985-03-18,40,,,
3874-EQOEP,Male,,No,No,21,1994,7,1994-07-21,31,,,
1679-JRFBR,Female,,Yes,Yes,10,1998,1,1998-01-10,27,,,
9073-ZZIAY,Male,,Yes,Yes,20,1998,7,1998-07-20,27,,,
3077-RSNTJ,Female,,Yes,Yes,2,2006,9,2006-09-02,19,,,
6551-GNYDG,Female,,Yes,Yes,14,2008,8,2008-08-14,17,,,
9167-APMXZ,Female,,No,No,28,2007,10,2007-10-28,17,,,
2749-CTKAJ,Male,,Yes,Yes,12,1986,10,1986-10-12,38,,,
6371-NZYEG,Male,,Yes,Yes,20,1994,12,1994-12-20,30,,,
7554-NEWDD,Male,,No,No,23,2006,2,2006-02-23,19,,,
8992-VONJD,Female,,No,Yes,18,1997,12,1997-12-18,27,,,
0867-MKZVY,Female,,Yes,No,12,1990,2,1990-02-12,35,,,
4482-EWFMI,Female,,No,No,17,2007,12,2007-12-17,17,,,
4648-YPBTM,Male,,No,No,11,1985,12,1985-12-11,39,,,
2907-ILJBN,Female,,Yes,Yes,9,1990,8,1990-08-09,35,,,
6345-FZOQH,Male,,Yes,No,16,2011,7,2011-07-16,14,,,
3376-BMGFE,Female,,No,No,7,2003,1,2003-01-07,22,,,
5997-OPVFA,Male,,Yes,No,27,1994,2,1994-02-27,31,,,
3445-HXXGF,Male,,Yes,No,20,1989,7,1989-07-20,36,,,
1159-WFSGR,Female,,Yes,Yes,6,1981,4,1981-04-06,44,,,
7654-YWJUF,Male,,Yes,No,26,1984,10,1984-10-26,40,,,
1875-QIVME,Female,,Yes,No,17,1998,6,1998-06-17,27,,,
6727-IOTLZ,Male,,Yes,No,26,2009,2,2009-02-26,16,,,
0691-JVSYA,Female,,Yes,No,16,2005,5,2005-05-16,20,,,
5918-VUKWP,Female,,No,No,8,1990,9,1990-09-08,35,,,
1744-JHKYS,Female,,Yes,No,16,1994,8,1994-08-16,31,,,
2656-FMOKZ,Female,,No,No,7,1987,10,1987-10-07,37,,,
2070-FNEXE,Female,,No,No,18,1987,1,1987-01-18,38,,,
5947-SGKCL,Female,,Yes,Yes,4,1983,1,1983-01-04,42,,,
3712-PKXZA,Male,,Yes,No,9,2012,12,2012-12-09,12,,,
6317-YPKDH,Female,,No,No,24,1981,2,1981-02-24,44,,,
6582-OIVSP,Female,,No,No,29,1998,7,1998-07-29,27,,,
9367-WXLCH,Male,,No,No,11,2004,12,2004-12-11,20,,,
5524-KHNJP,Male,,Yes,Yes,16,1994,2,1994-02-16,31,,,
1918-ZBFQJ,Female,,No,No,24,2002,10,2002-10-24,22,,,
1024-GUALD,Female,,Yes,No,14,1995,5,1995-05-14,30,,,
4827-USJHP,Male,,No,No,6,2005,6,2005-06-06,20,,,
8167-GJLRN,Male,,No,No,12,1990,8,1990-08-12,35,,,
0956-SYCWG,Female,,No,No,26,1988,1,1988-01-26,37,,,
8017-UVSZU,Female,,Yes,No,7,1983,11,1983-11-07,41,,,
7100-FQPRV,Male,,Yes,Yes,7,1990,9,1990-09-07,35,,,
2472-OVKUP,Male,,Yes,No,20,2001,10,2001-10-20,23,,,
2984-RGEYA,Female,,Yes,Yes,26,1997,4,1997-04-26,28,,,
9680-NIAUV,Female,,Yes,Yes,25,1999,11,1999-11-25,25,,,
2146-EGVDT,Male,,Yes,Yes,6,1988,11,1988-11-06,36,,,
2604-IJPDU,Female,,Yes,No,5,1989,11,1989-11-05,35,,,
9178-JHUVJ,Male,,Yes,Yes,18,1981,11,1981-11-18,43,,,
6168-YBYNP,Male,,No,No,3,2005,9,2005-09-03,20,,,
7255-SSFBC,Male,,Yes,Yes,22,1987,11,1987-11-22,37,,,
3645-DEYGF,Male,,No,Yes,9,2009,8,2009-08-09,16,,,
9323-HGFWY,Female,,Yes,No,26,1988,6,1988-06-26,37,,,
8544-GOQSH,Female,,No,No,29,1986,7,1986-07-29,39,,,
3363-DTIVD,Male,,Yes,Yes,5,1985,1,1985-01-05,40,,,
7018-WBJNK,Male,,No,Yes,28,1992,11,1992-11-28,32,,,
9142-KZXOP,Male,,No,No,17,1998,4,1998-04-17,27,,,
7674-YTAFD,Female,,No,No,15,1993,3,1993-03-15,32,,,
6348-SNFUS,Male,,Yes,Yes,30,1990,2,1990-03-02,35,,,
1285-OKIPP,Male,,No,No,30,1994,11,1994-11-30,30,,,
7825-ECJRF,Female,,No,No,20,1985,2,1985-02-20,40,,,
1347-KTTTA,Male,,Yes,No,24,2001,2,2001-02-24,24,,,
7841-TZDMQ,Male,,No,No,8,2004,4,2004-04-08,21,,,
4195-NZGTA,Female,,No,No,18,1997,8,1997-08-18,28,,,
7157-SMCFK,Male,,No,Yes,3,2011,1,2011-01-03,14,,,
4709-LKHYG,Female,,Yes,Yes,21,2000,4,2000-04-21,25,,,
2504-DSHIH,Male,,Yes,No,15,2007,11,2007-11-15,17,,,
0699-NDKJM,Female,,Yes,No,13,1991,10,1991-10-13,33,,,
9286-BHDQG,Male,,Yes,Yes,16,2007,8,2007-08-16,18,,,
0230-WEQUW,Male,,Yes,No,1,2007,2,2007-02-01,18,,,
2040-LDIWQ,Male,,Yes,Yes,1,2011,1,2011-01-01,14,,,
6496-JDSSB,Female,,No,No,25,1985,11,1985-11-25,39,,,
9408-SSNVZ,Female,,No,No,16,1996,4,1996-04-16,29,,,
4443-EMBNA,Female,,Yes,No,22,2010,11,2010-11-22,14,,,
6469-MRVET,Male,,Yes,Yes,5,2009,10,2009-10-05,15,,,
0742-MOABM,Male,,Yes,No,27,1996,9,1996-09-27,28,,,
5961-VUSRV,Female,,No,No,20,2000,2,2000-02-20,25,,,
6778-JFCMK,Male,,No,No,20,1982,9,1982-09-20,42,,,
6341-JVQGF,Female,,Yes,Yes,13,2002,9,2002-09-13,23,,,
2232-DMLXU,Female,,Yes,No,25,2008,3,2008-03-25,17,,,
4811-JBUVU,Male,,No,No,6,1986,10,1986-10-06,38,,,
0945-TSONX,Female,,Yes,Yes,25,1984,7,1984-07-25,41,,,
2651-ZCBXV,Male,,No,No,5,1998,3,1998-03-05,27,,,
3316-UWXUY,Male,,No,No,13,2005,11,2005-11-13,19,,,
8937-RDTHP,Male,,No,No,3,2005,5,2005-05-03,20,,,
7083-MIOPC,Female,,No,No,2,1998,1,1998-01-02,27,,,
1984-GPTEH,Female,,No,No,7,1999,1,1999-01-07,26,,,
1251-KRREG,Male,,No,No,6,1981,10,1981-10-06,43,,,
0621-JFHOL,Female,,No,No,18,2003,5,2003-05-18,22,,,
9903-LYSAB,Male,,Yes,No,23,1984,6,1984-06-23,41,,,
0094-OIFMO,Female,,No,No,28,2007,1,2007-01-28,18,,,
9227-UAQFT,Male,,No,No,21,2006,4,2006-04-21,19,,,
7301-ABVAD,Female,,No,No,17,1998,2,1998-02-17,27,,,
6614-FHDBO,Male,,No,No,30,1998,7,1998-07-30,27,,,
7576-ASEJU,Female,,Yes,Yes,1,2002,5,2002-05-01,23,,,
9058-HRZSV,Female,,Yes,No,4,1982,1,1982-01-04,43,,,
4522-AKYLR,Female,,No,No,26,1982,10,1982-10-26,42,,,
0221-WMXNQ,Male,,No,No,9,1986,11,1986-11-09,38,,,
0303-UNCIP,Male,,No,No,19,1987,5,1987-05-19,38,,,
9947-OTFQU,Male,,No,No,2,1984,1,1984-01-02,41,,,
0322-YINQP,Male,,No,No,18,1997,6,1997-06-18,28,,,
0959-WHOKV,Male,,No,No,10,2000,7,2000-07-10,25,,,
4075-JFPGR,Female,,Yes,No,18,1999,10,1999-10-18,25,,,
4629-NRXKX,Female,,Yes,Yes,5,2002,2,2002-02-05,23,,,
9514-JDSKI,Male,,Yes,No,18,2003,5,2003-05-18,22,,,
3282-ZISZV,Male,,No,Yes,21,1997,8,1997-08-21,28,,,
3675-YDUPJ,Male,,No,No,11,1998,4,1998-04-11,27,,,
4111-BNXIF,Female,,Yes,Yes,4,1991,9,1991-09-04,34,,,
7017-VFHAY,Female,,Yes,Yes,3,2000,5,2000-05-03,25,,,
6655-LHBYW,Male,,No,No,1,1999,4,1999-04-01,26,,,
4959-JOSRX,Female,,Yes,No,21,2008,10,2008-10-21,16,,,
5046-NUHWD,Female,,Yes,No,2,1984,6,1984-06-02,41,,,
7273-TEFQD,Male,,No,No,20,1980,11,1980-11-20,44,,,
3606-TWKGI,Male,,No,No,26,2012,1,2012-01-26,13,,,
7529-ZDFXI,Male,,Yes,No,8,2002,8,2002-08-08,23,,,
7605-BDWDC,Female,,No,No,23,2004,10,2004-10-23,20,,,
1950-KSVVJ,Female,,Yes,No,30,2012,4,2012-04-30,13,,,
0123-CRBRT,Female,,Yes,Yes,13,2002,10,2002-10-13,22,,,
6292-TOSSS,Male,,No,No,13,1998,1,1998-01-13,27,,,
3197-ARFOY,Female,,No,No,6,2008,6,2008-06-06,17,,,
6323-AYBRX,Male,,No,No,26,2007,10,2007-10-26,17,,,
7014-ZZXAW,Female,,Yes,No,8,1995,10,1995-10-08,29,,,
4385-GZQXV,Female,,No,No,1,1997,12,1997-12-01,27,,,
7633-MVPUY,Male,,Yes,No,18,2005,10,2005-10-18,19,,,
6366-ZGQGL,Male,,No,No,27,1984,6,1984-06-27,41,,,
4716-HHKQH,Male,,Yes,No,28,1993,7,1993-07-28,32,,,
5940-AHUHD,Male,,No,No,4,1989,9,1989-09-04,36,,,
6432-TWQLB,Male,,Yes,No,23,1994,6,1994-06-23,31,,,
4484-GLZOU,Female,,Yes,No,15,1984,1,1984-01-15,41,,,
3179-GBRWV,Male,,Yes,No,7,2000,5,2000-05-07,25,,,
8645-KWHJO,Male,,No,No,19,2005,3,2005-03-19,20,,,
4130-MZLCC,Female,,No,No,18,1998,3,1998-03-18,27,,,
0314-TKOSI,Female,,No,No,24,2000,2,2000-02-24,25,,,
8229-MYEJZ,Female,,No,No,14,1993,9,1993-09-14,32,,,
2080-SRCDE,Female,,No,Yes,26,1983,3,1983-03-26,42,,,
9577-WJVCQ,Female,,No,No,20,2005,10,2005-10-20,19,,,
9512-UIBFX,Male,,Yes,Yes,7,1996,11,1996-11-07,28,,,
6202-DYYFX,Female,,No,No,28,2010,3,2010-03-28,15,,,
3808-HFKDE,Female,,No,No,30,1981,9,1981-09-30,43,,,
5583-SXDAG,Male,,Yes,No,23,1981,1,1981-01-23,44,,,
3488-PGMQJ,Male,,No,No,16,1997,10,1997-10-16,27,,,
3580-REOAC,Male,,No,No,6,2004,6,2004-06-06,21,,,
7534-BFESC,Male,,No,No,21,1981,1,1981-01-21,44,,,
3727-OWVYD,Male,,No,No,27,1994,8,1994-08-27,31,,,
2294-SALNE,Male,,Yes,Yes,11,1981,7,1981-07-11,44,,,
4847-TAJYI,Female,,No,No,15,2005,2,2005-02-15,20,,,
1563-IWQEX,Female,,No,No,16,1999,6,1999-06-16,26,,,
8203-XJZRC,Male,,No,No,26,2006,8,2006-08-26,19,,,
6556-DBKZF,Female,,Yes,Yes,6,1989,2,1989-02-06,36,,,
6851-WEFYX,Male,,Yes,No,6,1980,8,1980-08-06,45,,,
2985-JUUBZ,Male,,Yes,Yes,15,1991,12,1991-12-15,33,,,
6390-DSAZX,Female,,No,Yes,21,1987,4,1987-04-21,38,,,
0895-LMRSF,Male,,No,No,12,2001,12,2001-12-12,23,,,
8098-LLAZX,Female,,No,No,8,2000,2,2000-02-08,25,,,
8266-VBFQL,Male,,No,No,7,2011,12,2011-12-07,13,,,
8181-YHCMF,Female,,Yes,Yes,15,2000,4,2000-04-15,25,,,
2240-HSJQD,Male,,No,Yes,1,1997,12,1997-12-01,27,,,
1248-DYXUB,Male,,Yes,Yes,17,1994,6,1994-06-17,31,,,
0265-EDXBD,Male,,Yes,No,10,2007,5,2007-05-10,18,,,
4115-BNPJY,Male,,Yes,Yes,11,1993,3,1993-03-11,32,,,
3167-SNQPL,Male,,Yes,Yes,10,1992,7,1992-07-10,33,,,
4091-TVOCN,Male,,No,Yes,17,1994,4,1994-04-17,31,,,
1098-TDVUQ,Female,,No,No,15,1980,6,1980-06-15,45,,,
7277-OZCGZ,Female,,No,No,6,2007,12,2007-12-06,17,,,
1557-EMYVT,Female,,No,No,8,1982,3,1982-03-08,43,,,
2799-ARNLO,Female,,Yes,No,16,1982,8,1982-08-16,43,,,
7563-BIUPC,Male,,No,No,23,1988,2,1988-02-23,37,,,
5027-YOCXN,Male,,Yes,Yes,4,1988,11,1988-11-04,36,,,
3973-SKMLN,Male,,No,No,4,2012,5,2012-05-04,13,,,
2321-OMBXY,Female,,Yes,Yes,27,1985,9,1985-09-27,39,,,
2840-XANRC,Male,,Yes,No,20,2003,5,2003-05-20,22,,,
6745-JEFZB,Male,,Yes,No,18,1984,11,1984-11-18,40,,,
5020-ZSTTY,Female,,No,No,2,2002,4,2002-04-02,23,,,
9880-TDQAC,Female,,Yes,Yes,4,1999,11,1999-11-04,25,,,
8705-WZCYL,Male,,No,No,27,1989,12,1989-12-27,35,,,
7102-JJVTX,Female,,Yes,Yes,18,1981,12,1981-12-18,43,,,
8626-PTQGE,Male,,No,No,24,2005,6,2005-06-24,20,,,
4983-CLMLV,Female,,Yes,No,14,1984,5,1984-05-14,41,,,
5701-YVSVF,Female,,Yes,No,8,1993,5,1993-05-08,32,,,
5804-LEPIM,Female,,No,No,23,2005,6,2005-06-23,20,,,
5697-GOMBF,Female,,Yes,Yes,4,1992,1,1992-01-04,33,,,
2739-CACDQ,Female,,No,No,27,2007,2,2007-02-27,18,,,
9385-EHGDO,Female,,Yes,Yes,16,1996,12,1996-12-16,28,,,
9498-FIMXL,Female,,No,No,7,2002,7,2002-07-07,23,,,
2379-GYFLQ,Male,,No,No,15,1995,3,1995-03-15,30,,,
0122-OAHPZ,Female,,No,No,11,1992,9,1992-09-11,33,,,
2868-SNELZ,Female,,No,No,3,2011,9,2011-09-03,14,,,
4322-RCYMT,Male,,Yes,Yes,25,1991,5,1991-05-25,34,,,
6680-NENYN,Female,,No,No,28,1984,10,1984-10-28,40,,,
2088-IEBAU,Female,,No,No,11,1985,9,1985-09-11,40,,,
7982-VCELR,Female,,No,No,25,2003,7,2003-07-25,22,,,
1343-EHPYB,Male,,Yes,No,19,2005,2,2005-02-19,20,,,
6035-BXTTY,Female,,No,No,1,2002,1,2002-01-01,23,,,
6885-PKOAM,Female,,Yes,No,9,1991,10,1991-10-09,33,,,
7520-HQWJU,Female,,Yes,Yes,2,1981,2,1981-02-02,44,,,
9639-BUJXT,Male,,No,No,6,1992,3,1992-03-06,33,,,
5924-SNGKP,Female,,No,Yes,15,2007,8,2007-08-15,18,,,
0021-IKXGC,Female,,No,No,9,1995,6,1995-06-09,30,,,
2034-GDRCN,Female,,No,No,2,1996,1,1996-01-02,29,,,
8966-SNIZF,Female,,Yes,No,4,2002,6,2002-06-04,23,,,
6243-OZGFH,Female,,No,No,10,1996,2,1996-02-10,29,,,
4654-DLAMQ,Female,,Yes,No,21,2002,7,2002-07-21,23,,,
0513-RBGPE,Male,,Yes,Yes,11,1993,5,1993-05-11,32,,,
5160-UXJED,Male,,No,Yes,19,2007,3,2007-03-19,18,,,
4115-NZRKS,Female,,No,No,27,1986,8,1986-08-27,39,,,
0219-YTZUE,Male,,Yes,Yes,30,1998,7,1998-07-30,27,,,
0623-IIHUG,Female,,No,No,6,2001,7,2001-07-06,24,,,
4572-DVCGN,Female,,No,No,23,2000,10,2000-10-23,24,,,
3351-NGXYI,Female,,No,No,24,2011,12,2011-12-24,13,,,
8984-EYLLL,Male,,Yes,No,23,1994,1,1994-01-23,31,,,
9057-MSWCO,Male,,Yes,No,22,1986,1,1986-01-22,39,,,
9833-TGFHX,Male,,Yes,Yes,19,2002,8,2002-08-19,23,,,
9294-TDIPC,Male,,No,Yes,23,2008,3,2008-03-23,17,,,
5229-DTFYB,Female,,No,No,7,1985,8,1985-08-07,40,,,
0104-PPXDV,Male,,Yes,No,16,1983,6,1983-06-16,42,,,
5176-LMJXE,Female,,No,No,29,1990,7,1990-07-29,35,,,
3583-KRKMD,Male,,No,No,25,1983,5,1983-05-25,42,,,
1010-DIAUQ,Male,,No,No,21,1980,5,1980-05-21,45,,,
9069-LGEUL,Male,,Yes,No,26,1999,10,1999-10-26,25,,,
7302-ZHMHP,Female,,No,No,2,2008,12,2008-12-02,16,,,
9571-EDEBV,Male,,Yes,No,21,1987,7,1987-07-21,38,,,
